"S1","S2","S3","EC"
0.913629,-0.345182,0.214784,77176.525
0.913555,-0.345262,0.214967,77393.8
0.913878,-0.344695,0.214505,77728.375
0.913941,-0.344479,0.214583,77441.125
0.913941,-0.344479,0.214583,77502.85
0.913951,-0.345171,0.213425,77310.3
0.91438,-0.344989,0.211876,77505.525
0.913984,-0.346193,0.211621,77441.925
0.913891,-0.34656,0.211421,77514.475
0.913414,-0.347765,0.211507,77255.1
0.913531,-0.347749,0.211027,77523.475
0.913545,-0.347987,0.210573,77397.65
0.914216,-0.347292,0.2088,77591.725
0.913732,-0.347775,0.21011,77058.425
0.914307,-0.346872,0.2091,77725.875
0.913972,-0.347857,0.208926,77187.65
0.914537,-0.34682,0.208177,77539.3
0.914929,-0.346172,0.207534,77018.525
0.914861,-0.345723,0.208578,77487.475
0.915245,-0.345575,0.207133,77155.875
0.915706,-0.344769,0.206437,77506.375
0.914971,-0.34624,0.207235,76796.375
0.914937,-0.346994,0.20612,77451.45
0.915434,-0.346174,0.205289,76911.75
0.915856,-0.345406,0.204701,77424.975
0.915501,-0.346726,0.204056,76884.25
0.915012,-0.347679,0.204629,77275.9
0.914557,-0.348544,0.205188,77062.125
0.914535,-0.348828,0.204807,77371.4
0.914647,-0.34881,0.204336,76758.825
0.914743,-0.349258,0.203135,77318.125
0.9151,-0.347945,0.203778,77189.2
0.91459,-0.348496,0.205122,77227.325
0.914654,-0.348279,0.205205,77106.525
0.914672,-0.347913,0.205748,77106.775
0.913872,-0.349589,0.20646,77428.375
0.914256,-0.348811,0.206077,77214.425
0.914327,-0.348727,0.205903,76727.75
0.915065,-0.347298,0.205039,77251.925
0.915771,-0.345294,0.20527,77030.325
0.915326,-0.346294,0.205572,77255.75
0.915077,-0.346777,0.205866,77068.725
0.915077,-0.346777,0.205866,77387.775
0.915055,-0.346374,0.206639,76989.125
0.915062,-0.346509,0.206381,77165.85
0.915556,-0.345026,0.206677,76757.7
0.915038,-0.346128,0.207126,77310.975
0.91546,-0.345361,0.206539,76926.7
0.915929,-0.344108,0.20655,77135.95
0.916599,-0.34285,0.205668,76710.4
0.916112,-0.343807,0.206242,77112.75
0.916283,-0.342892,0.207005,76957.375
0.915902,-0.343675,0.20739,77129.925
0.915972,-0.343595,0.207214,76723.275
0.915689,-0.344149,0.207545,77172.125
0.915689,-0.344149,0.207545,76861.475
0.915551,-0.343781,0.208762,77232.225
0.916479,-0.341831,0.207887,76821.725
0.916919,-0.340835,0.207584,77161.5
0.916914,-0.340145,0.208735,76971.65
0.916914,-0.340145,0.208735,77213.025
0.917726,-0.338254,0.208238,76737.675
0.917278,-0.33967,0.207905,77129.3
0.91777,-0.338849,0.207075,77119.75
0.91715,-0.33996,0.208,77137.8
0.917433,-0.339397,0.207669,76799.825
0.917238,-0.339875,0.207749,76949.75
0.916919,-0.340449,0.208217,77205.7
0.917085,-0.339535,0.208977,76936.85
0.91652,-0.340102,0.210529,76940.325
0.915902,-0.341347,0.211199,77107.65
0.916283,-0.340563,0.210815,77295.825
0.916274,-0.340427,0.211073,77044.3
0.915858,-0.341833,0.210603,77079.775
0.915507,-0.342522,0.211011,77038.975
0.915923,-0.341118,0.211481,77211.775
0.915914,-0.340982,0.211739,77023.725
0.916427,-0.340435,0.210393,76930.275
0.916515,-0.340076,0.210593,76635
0.916154,-0.340575,0.211355,77265.45
0.915667,-0.34089,0.212951,77114
0.915695,-0.341299,0.212176,77217.05
0.916136,-0.340303,0.211871,76977.675
0.916066,-0.34038,0.21205,77440.8
0.916028,-0.340892,0.211391,77203.825
0.916432,-0.339349,0.212119,77297.175
0.916464,-0.338726,0.212974,77045.275
0.916367,-0.33945,0.212236,77119.25
0.915912,-0.339784,0.213663,76876.625
0.915589,-0.340886,0.213292,77331.85
0.915518,-0.340963,0.213473,76745.35
0.915862,-0.340692,0.212429,77232.2
0.916377,-0.339587,0.211977,76993.125
0.916404,-0.339997,0.211201,77255.75
0.916395,-0.339861,0.211459,76969.875
0.916361,-0.340484,0.210604,77056.15
0.916007,-0.341121,0.211109,77218.275
0.915656,-0.341811,0.211517,77123
0.914835,-0.343697,0.21201,76900.875
0.914431,-0.344179,0.212973,77651.525
0.914421,-0.344044,0.213231,77542.325
0.914414,-0.344516,0.212497,77343.5
0.914887,-0.343373,0.212313,76991.375
0.914816,-0.343452,0.212492,77292.6
0.91517,-0.342819,0.21199,77424.175
0.915197,-0.342671,0.212109,77606.225
0.915197,-0.342671,0.212109,77181.575
0.914282,-0.344334,0.213361,77357.675
0.913927,-0.344966,0.213862,77628.075
0.913911,-0.345302,0.213387,77411.575
0.913527,-0.346081,0.213768,77129.1
0.91267,-0.348106,0.214138,77353.825
0.912378,-0.348516,0.214714,77361.725
0.911562,-0.350018,0.215736,77200.775
0.911657,-0.349651,0.21593,77331.2
0.91132,-0.349991,0.216801,77356.025
0.910957,-0.35053,0.217454,77570
0.910987,-0.35038,0.217571,77643.95
0.910911,-0.350463,0.217753,77182.925
0.911122,-0.350609,0.216633,77401.05
0.911263,-0.350308,0.216527,77456.05
0.911217,-0.350242,0.216826,77307.7
0.910786,-0.351531,0.216553,77381.55
0.911304,-0.349774,0.217217,77501.6
0.91126,-0.350291,0.216566,77711.75
0.911179,-0.350842,0.216016,77622.675
0.911209,-0.350691,0.216134,77506.4
0.910748,-0.351015,0.217545,77333.175
0.910283,-0.351872,0.218106,77871.075
0.91014,-0.352176,0.218214,77365
0.910181,-0.352708,0.217181,77986.525
0.910104,-0.352794,0.217363,77232.05
0.910459,-0.352123,0.216967,77741.75
0.910109,-0.353463,0.216251,77412.825
0.909698,-0.353935,0.217207,77597.5
0.909279,-0.355457,0.216475,77422.475
0.909751,-0.355266,0.214802,77715.05
0.909789,-0.354614,0.215715,77510.85
0.910317,-0.35407,0.214378,77465.4
0.91073,-0.353682,0.213262,77346.925
0.911328,-0.35305,0.211746,77688.7
0.91131,-0.352751,0.212324,77748.725
0.91064,-0.354149,0.212869,77443.05
0.910497,-0.354457,0.212969,77408.675
0.910958,-0.353547,0.212508,77750.925
0.910502,-0.354541,0.212809,77858.425
0.91086,-0.353919,0.212309,77448.675
0.910717,-0.354227,0.212409,77499.675
0.911152,-0.354184,0.210607,77658
0.911196,-0.354248,0.210309,78005.8
0.911196,-0.354248,0.210309,77503.45
0.91152,-0.353727,0.209781,77492.725
0.91113,-0.354505,0.210163,77665.925
0.91127,-0.354865,0.208943,77824.075
0.911314,-0.354247,0.209799,77678.475
0.911606,-0.353843,0.209214,77591.825
0.91206,-0.353513,0.207787,77575.875
0.912418,-0.352886,0.207281,78046.525
0.912819,-0.351639,0.207632,77569.7
0.912892,-0.351553,0.207456,77812.025
0.913323,-0.350153,0.20793,77588.925
0.913751,-0.348752,0.208403,77705.525
0.914581,-0.346866,0.207908,77730.775
0.914965,-0.346083,0.207522,77483.525
0.915048,-0.345529,0.208081,77359.525
0.915431,-0.344745,0.207696,77837.025
0.915048,-0.345529,0.208081,77559.425
0.915339,-0.345111,0.207491,77853.45
0.915165,-0.346031,0.206726,77712.125
0.915248,-0.345477,0.207286,77746.45
0.91562,-0.344449,0.20735,77657.2
0.91571,-0.344029,0.207652,77686.925
0.916673,-0.341972,0.206799,77821.4
0.916136,-0.343365,0.206869,77887.2
0.916286,-0.342148,0.208218,77465.925
0.916754,-0.341473,0.207262,77486.6
0.916776,-0.341827,0.206582,77737.575
0.917067,-0.341402,0.205989,77860.05
0.91794,-0.339789,0.204766,77899.475
0.918908,-0.338031,0.203328,77520.55
0.919258,-0.337387,0.202815,77586.525
0.919239,-0.337671,0.202432,77952.9
0.918802,-0.33873,0.202643,77628.275
0.91925,-0.336669,0.204042,77978.95
0.919684,-0.335667,0.203737,77759.85
0.920052,-0.334738,0.203606,77895.05
0.919692,-0.334723,0.205249,77669.725
0.919353,-0.334889,0.206494,77644.625
0.918872,-0.335852,0.20707,77817.55
