"S1","S2","S3","EC"
0.85985,-0.476706,0.182781,97051.7
0.859558,-0.476969,0.183467,96971.25
0.859867,-0.476304,0.183745,96540.225
0.859475,-0.476859,0.184142,96961.275
0.859205,-0.477529,0.183665,97081.1
0.85918,-0.477592,0.183621,96596.35
0.858985,-0.478073,0.18328,96762.3
0.85882,-0.478006,0.184222,96963.325
0.858464,-0.478424,0.184796,97344.25
0.858674,-0.478637,0.183267,97089.65
0.858538,-0.478561,0.184095,96791.5
0.858159,-0.479137,0.184366,96632.925
0.858301,-0.478788,0.184611,97092.15
0.858363,-0.478699,0.184553,96534.375
0.85837,-0.478633,0.184691,96696.175
0.858397,-0.477929,0.186382,96745.2
0.858416,-0.477731,0.186802,97038.85
0.858476,-0.477833,0.186263,96753.35
0.858645,-0.478019,0.185006,96486.45
0.858431,-0.478114,0.185751,96627.875
0.858495,-0.477635,0.186684,97168.925
0.858641,-0.477844,0.185475,96784.475
0.858094,-0.478964,0.185119,96630.575
0.857249,-0.480721,0.184479,96574
0.857379,-0.48124,0.182511,97062.275
0.857251,-0.481597,0.182166,96553.75
0.857557,-0.481137,0.181943,96720.725
0.857682,-0.48069,0.182533,96137.05
0.856939,-0.482117,0.182259,97441.075
0.856511,-0.483119,0.181618,96661.75
0.856584,-0.482849,0.181989,96541.475
0.856709,-0.482409,0.182571,96552.675
0.856967,-0.482156,0.182028,97206.675
0.857662,-0.480881,0.182124,96634.175
0.857224,-0.481392,0.182837,96732.3
0.857052,-0.481638,0.182995,96629.6
0.857163,-0.481921,0.181727,97207.225
0.856449,-0.483339,0.181325,96546.825
0.856326,-0.483682,0.180993,96660.2
0.856496,-0.483584,0.180448,96684.8
0.856555,-0.482951,0.181858,97204.7
0.855959,-0.483803,0.182395,96880.7
0.855734,-0.483684,0.183765,96704.2
0.855886,-0.483981,0.182268,96494.2
0.855811,-0.48436,0.181611,97086.075
0.855717,-0.484745,0.181028,96936.95
0.855723,-0.484774,0.180918,96688
0.855725,-0.484859,0.180683,96624.925
0.8554,-0.48495,0.181976,96895.475
0.85515,-0.485681,0.181198,97076.475
0.855268,-0.485748,0.180459,96868.075
0.855638,-0.485168,0.180265,96712.075
0.855669,-0.485268,0.179849,96965.45
0.855945,-0.484746,0.179941,96589.575
0.855954,-0.48465,0.180162,97114.075
0.855518,-0.485952,0.178716,97010.425
0.855421,-0.486265,0.178328,96464.975
0.855535,-0.486648,0.176732,97015
0.85603,-0.486327,0.17521,96567.65
0.855684,-0.486418,0.176645,96776.6
0.855888,-0.486489,0.175455,96683.475
0.855519,-0.486875,0.176184,96740.25
0.855493,-0.487163,0.175513,96415.85
0.85543,-0.487515,0.17484,96865.5
0.854857,-0.488464,0.174993,96776.225
0.855114,-0.488511,0.173599,97350
0.855098,-0.488628,0.17335,96957.175
0.854472,-0.489814,0.173091,97040.35
0.85386,-0.490969,0.172838,97111.225
0.853462,-0.491826,0.172366,97080.15
0.853345,-0.492207,0.171854,96499.425
0.852716,-0.493145,0.172287,96839.825
0.852691,-0.493057,0.172666,96725.35
